"HFkort";"mar";"apr";"mai";"jun";"jul";"aug";"sep"
"AHUS";"3.31368900";"5.4594017";"1.4784946";"0.88675214";"0.34119107";"0.372208437";"0.76923077"
"Bergen";"0.68363736";"1.0862620";"0.4534680";"0.13134540";"0.04465973";"0.034353636";"0.18104366"
"Diakonhj.";"2.17082573";"6.5828092";"1.1564212";"0.64989518";"0.64921891";"0.060864273";"0.46121593"
"Finnmark";"0.21944262";"0.6802721";"0.0000000";"0.00000000";"0.00000000";"0.000000000";"0.00000000"
"Fonna";"0.87428399";"1.3811007";"0.4924128";"0.31152648";"0.27132951";"0.200984826";"0.00000000"
"Førde";"0.05865103";"0.7727273";"0.4545455";"0.03030303";"0.00000000";"0.000000000";"0.00000000"
"Haraldspl.";"0.95902354";"2.5675676";"1.4385353";"0.27027027";"0.00000000";"0.021795990";"0.83333333"
"Helgeland";"0.00000000";"0.0000000";"0.0000000";"0.00000000";"0.08324662";"0.000000000";"0.00000000"
"Innlandet";"0.60380480";"1.2735043";"0.5459057";"0.20940171";"0.03308519";"0.000000000";"0.08547009"
"Lovisenb.";"4.27913101";"6.6666667";"1.6458196";"0.81632653";"0.15360983";"0.263331139";"0.90702948"
"Møre og Romsdal";"0.44766294";"1.3877551";"0.4410797";"0.25850340";"0.12508229";"0.032916392";"0.00000000"
"N-Trøndelag";"0.27190706";"1.1494253";"0.3831418";"0.38314176";"0.38314176";"0.568532938";"0.38314176"
"Nordland";"0.52882073";"1.4316940";"0.2538340";"0.00000000";"0.00000000";"0.793231095";"0.98360656"
"OUS";"1.15136476";"2.6748718";"0.9250620";"0.59487179";"0.49627792";"0.561786600";"0.70974359"
"St.Olavs";"0.44128679";"0.8846329";"0.2912493";"0.05471956";"0.00000000";"0.136798906";"0.05927953"
"Stavanger";"0.46308478";"0.7939097";"0.0000000";"0.00000000";"0.03157396";"0.078934905";"0.20663404"
"Sørlandet";"0.86577310";"1.4711730";"0.4745719";"0.22531478";"0.12184955";"0.019239402";"0.01988072"
"Telemark";"0.57899090";"2.0085470";"0.8374690";"0.64102564";"0.64102564";"0.641025641";"0.64102564"
"UNN";"0.36508282";"1.3006757";"0.5285527";"0.02815315";"0.00000000";"0.299694856";"0.00000000"
"V. Viken";"2.20202109";"2.7998176";"0.5074798";"0.20519836";"0.11473457";"0.000000000";"0.01823985"
"Vestfold";"1.32883967";"2.0995025";"0.6644198";"0.29850746";"0.00000000";"0.009629273";"0.00000000"
"Østfold";"2.13073005";"3.2807018";"0.4414261";"0.06140351";"0.08488964";"0.670628183";"0.35964912"
"HeleLandet";"1.01795358341848";"1.95203619909502";"0.575098525762662";"0.275716440422323";"0.169318347686469";"0.22566048752007";"0.283257918552036"
