"3";"4";"5";"6";"7";"8";"9";"10";"11";"12"
"AHUS";566;323;27;32;51;2;15;46;166;172
"Bergen";162;86;NA;0;0;0;3;0;49;33
"Diakonhjemmet";104;128;0;38;0;0;6;27;41;38
"Finnmark";0;0;NA;NA;NA;NA;NA;0;0;NA
"Fonna";88;26;NA;NA;0;0;NA;0;0;0
"Førde";11;11;NA;NA;NA;NA;3;NA;0;0
"Haraldsplass";30;40;0;0;NA;0;3;0;2;0
"Helgeland";NA;NA;NA;NA;0;NA;NA;0;0;0
"Innlandet";205;7;51;0;0;NA;0;0;47;35
"Lovisenberg";154;158;83;NA;6;0;20;14;91;70
"Møre og Romsdal";122;44;0;0;0;0;0;0;57;34
"N-Trøndelag";45;13;NA;NA;NA;0;NA;0;0;0
"Nordland";125;0;NA;NA;NA;0;NA;0;0;0
"OUS";486;339;7;30;0;1;39;104;442;240
"St.Olavs";22;68;0;NA;NA;3;0;29;10;73
"Stavanger";76;18;NA;NA;0;0;0;0;47;0
"Sørlandet";55;107;0;NA;0;0;NA;27;12;0
"Telemark";112;3;NA;NA;NA;0;NA;0;15;85
"UNN";119;50;NA;NA;0;0;NA;0;0;27
"V. Viken";281;53;3;0;0;0;0;49;228;144
"Vestfold";241;0;66;96;NA;0;0;3;47;27
"Østfold";136;28;0;0;0;6;0;17;17;146
